name,source,vectors
Кубок Стэнли закончился победой «Бостон Брюинз» и беспорядками в Ванкувере,opencorpora,"[-1.0431382656097412, 1.6697397232055664, -3.2876157760620117, 0.634663999080658, -1.4974970817565918, 4.034662246704102, -0.9962326288223267, 2.8962295055389404, -2.091341495513916, -2.2776906490325928, -1.8537245988845825, -0.9215742945671082, 0.7179480791091919, 4.62375020980835, -1.6378097534179688, -3.3400707244873047, -5.369763374328613, 0.46109867095947266, 2.356405735015869, 0.3399258553981781, -1.3182544708251953, 0.3981556296348572, 1.2333890199661255, -8.10611343383789, 3.030144691467285, -1.0422098636627197, 0.8896320462226868, 2.6772167682647705, -0.5977039933204651, -1.0694760084152222, -0.9154796600341797, 0.3580355644226074, 0.5551043152809143, 2.694063425064087, 1.7356154918670654, -4.070784568786621, -3.3737564086914062, -0.5341472029685974, -0.38716936111450195, -0.8493879437446594, -0.07280782610177994, 0.26429441571235657, -4.118871688842773, 2.563889265060425, -1.4227025508880615, -1.1037384271621704, -4.090490341186523, 4.696336269378662, 0.7324725389480591, 0.8023670315742493, 7.409557819366455, -2.4533021450042725, 3.4045848846435547, -0.6212707161903381, -1.2472214698791504, 2.6786699295043945, -4.041304588317871, -1.8716248273849487, 2.6636154651641846, 1.5309596061706543, -1.948939561843872, -6.435431957244873, 0.0913340300321579, 1.8900490999221802, 1.8972800970077515, -1.0588927268981934, 2.1491200923919678, -1.4926414489746094, 0.46283724904060364, 0.8798831701278687, -3.1030361652374268, 0.27897679805755615, -5.054437637329102, 2.185945749282837, 1.3863797187805176, 3.2366325855255127, 0.9486932158470154, 2.343534231185913, 3.5775744915008545, 1.8812626600265503, -2.16937255859375, -2.563887357711792, 1.3333121538162231, 3.582383632659912, 0.08159665763378143, 5.345197677612305, -4.92247200012207, 0.7728667855262756, 3.4110910892486572, -2.0415260791778564, 0.8601224422454834, -0.5381605625152588, 1.9314836263656616, 4.590607643127441, 1.998539686203003, 0.20326130092144012, -0.38047194480895996, -1.4890481233596802, 1.428127408027649, -0.2373075783252716]"
0169392 в копилочку,opencorpora,"[-0.9197487235069275, -0.9088310599327087, 0.29966112971305847, -0.4381096065044403, 0.7455354332923889, -0.0990142896771431, 0.2682728171348572, 2.9525136947631836, 0.0884149819612503, -0.6508287191390991, -1.0281243324279785, -0.9111781120300293, 0.21750816702842712, 0.3240697979927063, 0.9731212258338928, 0.35760998725891113, -0.7508691549301147, -1.9991480112075806, 0.5935438871383667, -0.12659317255020142, -0.03554130718111992, 0.5326453447341919, 0.6684117317199707, -2.581371545791626, 1.9145073890686035, 0.5153131484985352, 0.3334260582923889, -0.17117176949977875, -1.1824268102645874, 1.1841386556625366, 0.5181642770767212, -0.5837799310684204, -2.5777347087860107, -0.4636589586734772, 0.5467110276222229, -0.3991435766220093, 1.1882474422454834, 1.6258803606033325, 0.29034602642059326, -0.1656351387500763, 0.42751869559288025, 0.01186349242925644, 0.6305409073829651, -1.2709064483642578, 0.2115717977285385, -0.7165613174438477, -0.6678267121315002, 0.9460610151290894, -0.8639143705368042, 0.2370520383119583, 0.9660170078277588, -1.1257081031799316, -0.5487826466560364, 0.852927029132843, -0.9670454263687134, 1.1921778917312622, 0.6189695000648499, -1.0930131673812866, 0.2741084098815918, -0.7078425288200378, 0.09446245431900024, -0.6764031648635864, 0.1646423041820526, -1.839557409286499, -1.6154273748397827, 1.474863052368164, 0.018371373414993286, -0.8382928967475891, -0.6073339581489563, -0.5866722464561462, -0.5407500267028809, -1.070375919342041, -0.6702983379364014, -0.9921532273292542, 1.1329792737960815, -0.47002938389778137, 1.1433061361312866, -0.43444862961769104, 0.8685692548751831, 0.9236392378807068, -0.14869467914104462, 1.3766602277755737, 1.8132127523422241, 0.33362627029418945, -0.7857979536056519, 2.151597261428833, 0.9127316474914551, 0.2952052056789398, -0.4920237958431244, 0.9093756675720215, 0.5803518295288086, 0.6478555798530579, 0.6343348622322083, -0.6839320659637451, 0.8831763863563538, 0.34698113799095154, 0.2514166235923767, 0.3371347486972809, 0.6927893757820129, -0.09671047329902649]"
21639 Крайняя церковная необходимость вынуждает,opencorpora,"[-0.05330926552414894, -4.111560344696045, -4.554486274719238, 2.7287824153900146, 1.8260278701782227, -4.001071929931641, 1.4124997854232788, 3.796713352203369, 1.6502021551132202, -1.083693265914917, 0.44491782784461975, 0.10878077149391174, 0.8114340305328369, -1.6008092164993286, 4.132377624511719, -0.7949585318565369, -5.2784743309021, -0.027020202949643135, 0.5196948051452637, 2.0349161624908447, -1.3300061225891113, -2.9989230632781982, -0.07344596832990646, 0.8599997758865356, 1.6534903049468994, -0.41094204783439636, -9.168258666992188, -1.6923211812973022, -3.074779987335205, 3.9765000343322754, -1.8934818506240845, -0.020448019728064537, 0.02190634235739708, 4.654172420501709, -2.105360507965088, -4.204390525817871, -0.32696786522865295, -3.939800977706909, -1.3523988723754883, 1.1570254564285278, 0.6174719929695129, -3.5226552486419678, 1.5414016246795654, 4.342236518859863, -0.6066640019416809, -0.5560174584388733, -0.08479616045951843, 3.220179796218872, -3.790813446044922, 0.5262414216995239, 5.761298656463623, -0.6873776316642761, 2.4667539596557617, 1.757429599761963, 3.9233951568603516, 0.19906790554523468, 5.109774589538574, 3.5581908226013184, 1.9122477769851685, -0.5826104879379272, -1.9811668395996094, -5.074333667755127, -2.375990390777588, -2.1035356521606445, -1.610940933227539, 1.3156116008758545, 0.501954972743988, -0.9875922203063965, 2.551701307296753, 0.526756763458252, -0.8833811283111572, 1.2857929468154907, -2.3960821628570557, 1.692021369934082, 3.6224749088287354, 1.6397409439086914, -2.6251401901245117, -3.2760708332061768, 0.09850336611270905, 1.484734296798706, -0.9301416277885437, -3.7079944610595703, -0.9465588927268982, 1.7607957124710083, -1.5851669311523438, 3.375363349914551, 1.643459677696228, 1.3626587390899658, -4.471734523773193, 4.9404754638671875, -2.7897517681121826, -1.825688123703003, 4.063534736633301, 1.4451203346252441, 3.6347389221191406, 2.2167470455169678, -1.7948417663574219, -2.458674430847168, -1.9228647947311401, -1.3755496740341187]"
16627 На последнем дыхании и новая волна,opencorpora,"[-4.475942134857178, 2.236609935760498, 1.1655688285827637, -2.8290624618530273, -3.553457736968994, 1.8993637561798096, -2.9605515003204346, -0.42584267258644104, 3.62373685836792, -3.7338387966156006, -5.42558479309082, -1.471344232559204, 4.159241199493408, 0.9722480773925781, 1.9728739261627197, -2.3043787479400635, 1.4912546873092651, 3.923251152038574, 1.844387173652649, 4.742522239685059, -3.6275007724761963, 1.835381031036377, 2.72346830368042, -1.2651236057281494, 2.769164800643921, 1.152428150177002, -2.039034843444824, -0.9572201371192932, -1.912521481513977, -3.9628512859344482, 1.3226124048233032, -1.1770408153533936, 4.006723880767822, 1.0703433752059937, 3.9050939083099365, -1.4437565803527832, 0.8323184847831726, 0.9433589577674866, -6.704551696777344, -3.1315197944641113, -1.198915958404541, 1.3531094789505005, -0.9263826608657837, -2.094136953353882, 1.8943507671356201, 0.7604321837425232, -2.6320393085479736, 1.4666252136230469, 6.227656841278076, 3.1696724891662598, 4.510620594024658, -1.0982791185379028, 4.65894079208374, -0.6558350920677185, -3.922616481781006, 0.7520670294761658, 4.903942584991455, 7.695512771606445, -0.46776434779167175, -1.1623406410217285, -4.2633466720581055, -7.39862585067749, 0.862770676612854, -1.8053888082504272, 3.799438953399658, 6.531065464019775, 4.914328575134277, -4.030046463012695, 0.03278055414557457, 1.2063703536987305, -0.1493266522884369, -0.07498165965080261, 0.8155876398086548, -5.829042434692383, 7.200341701507568, 1.985520362854004, 1.769976258277893, 3.460805892944336, -2.8989551067352295, 1.333990454673767, 2.6776812076568604, 1.2130564451217651, 4.392151832580566, 2.598377227783203, -1.8804843425750732, 1.1446046829223633, 3.2934274673461914, 0.989585280418396, 0.5771554112434387, 1.7359319925308228, -2.3926851749420166, 2.188883066177368, 4.180077075958252, 6.462432861328125, 7.973662376403809, -1.6219279766082764, 1.0767055749893188, 0.6798961162567139, 1.2267392873764038, -0.7566981911659241]"
Статья 85. Обязанности и права эксперта,opencorpora,"[0.7064922451972961, -3.092059850692749, 4.555253982543945, 0.342478483915329, -5.026756763458252, 5.054716110229492, -1.7346938848495483, 0.6245146989822388, -3.8455772399902344, 2.8158793449401855, -0.15925806760787964, -2.3139286041259766, 0.9228521585464478, 0.15265177190303802, -2.6759791374206543, 3.8677778244018555, 0.350349098443985, -0.08385448902845383, 4.563830375671387, 3.8915395736694336, -2.8413233757019043, -0.3883633613586426, 2.566298007965088, -3.2368364334106445, -0.33011776208877563, 4.928930282592773, -4.535550117492676, 1.7992687225341797, -3.122406244277954, 3.0314977169036865, 0.7299418449401855, -4.5402350425720215, 0.678650438785553, 4.4557294845581055, -0.5409841537475586, -3.8184242248535156, -2.135049819946289, 2.4045326709747314, 0.7798814177513123, 3.13065505027771, 2.6883203983306885, -3.134908676147461, -2.5187699794769287, 2.2020199298858643, -5.906893730163574, 0.8194482922554016, 0.5504798889160156, 3.292285442352295, -1.100963830947876, -4.8028364181518555, 8.411286354064941, -5.133903503417969, 1.581588625907898, 1.570715308189392, 0.2054300308227539, 1.5510402917861938, -5.245732307434082, 4.386839866638184, -2.1196115016937256, 1.0232717990875244, 1.975393295288086, -4.088615894317627, -0.24539092183113098, -1.6558645963668823, -3.883366107940674, 0.8927079439163208, 3.036912441253662, -4.233091354370117, 1.739012360572815, 0.6269128918647766, -3.980916976928711, -2.482513904571533, -4.113357067108154, 3.261235475540161, -0.03588208183646202, 0.3046025037765503, -1.1519322395324707, -1.3969850540161133, 3.8504092693328857, 1.0910112857818604, 3.957658052444458, 3.8896420001983643, 2.964447259902954, -3.962023973464966, -0.319835364818573, 0.4727451205253601, -1.1850416660308838, 3.9681451320648193, -4.875472545623779, 1.7864482402801514, -3.5322341918945312, 3.183953285217285, -1.1635996103286743, -0.17692722380161285, 3.6742217540740967, 1.3040226697921753, -4.1310038566589355, 5.966540813446045, -3.9599411487579346, -3.759598970413208]"
Европа против Блэра,opencorpora,"[-5.613138198852539, 2.424572229385376, -1.5294816493988037, -0.1834922879934311, -2.5782957077026367, 1.3683738708496094, 2.6201252937316895, 5.310244083404541, -0.8754252195358276, -0.4059795141220093, 0.3522654175758362, 1.1801472902297974, -0.283210813999176, 3.206995964050293, -1.5018383264541626, -1.9507815837860107, -2.448972225189209, 4.349677562713623, 4.280488967895508, 0.5068285465240479, -3.7369680404663086, 3.3189291954040527, -0.61446613073349, 1.3917092084884644, 2.866129159927368, -0.5020033717155457, -5.642138957977295, 2.061009645462036, -3.1718215942382812, -0.5591546297073364, 3.5367050170898438, -2.856118679046631, 2.509432792663574, 2.889984607696533, 2.5477261543273926, -2.0462746620178223, -2.5385358333587646, -1.7824207544326782, -1.4693408012390137, -4.906393051147461, -5.420482635498047, -4.143810272216797, 0.061800628900527954, 0.28530237078666687, -2.3192601203918457, -2.1973953247070312, 0.27342528104782104, 1.3568588495254517, -2.891901731491089, 2.9004297256469727, 6.448685169219971, 0.3843829035758972, 1.1213129758834839, -3.611584186553955, 0.10012280941009521, -2.1618337631225586, -0.017350919544696808, -1.205932855606079, 2.366060972213745, -1.9268512725830078, -3.473752021789551, -2.8156368732452393, 0.5139792561531067, -3.919867992401123, 0.574702262878418, 3.564842700958252, 2.275503158569336, -0.5289515852928162, 6.437211036682129, 1.690017580986023, 2.952211618423462, -0.8021975159645081, 0.3031236231327057, -1.8373273611068726, -0.8798121213912964, 1.3738566637039185, -2.136096954345703, -2.4360404014587402, 0.8173612356185913, 5.4381914138793945, -2.382753372192383, 0.8442911505699158, 1.1578617095947266, 2.9931256771087646, 6.798099517822266, 1.365936279296875, 2.6813361644744873, -1.8612630367279053, -2.6473000049591064, 2.354588508605957, -0.5191442370414734, 1.7935974597930908, 1.0733704566955566, 4.244333744049072, 0.43351200222969055, 0.1276794970035553, -0.8183063864707947, -0.6659840941429138, 0.854863703250885, -2.0199179649353027]"
Про штангиста,opencorpora,"[-5.872713565826416, 2.9009711742401123, -6.606875896453857, 0.6395007967948914, -3.188673973083496, -5.4941020011901855, -3.3492496013641357, 2.4736099243164062, -1.8879575729370117, -0.1753874272108078, -1.370694637298584, -0.7744078040122986, 0.018140988424420357, 0.8923205137252808, 4.259087562561035, 3.5549123287200928, -2.412531614303589, 2.73964524269104, -3.250413179397583, 1.0408743619918823, -1.0293042659759521, -2.418076992034912, 2.998945474624634, -2.2384378910064697, 1.843389630317688, -3.06571626663208, 1.2090054750442505, -4.179235458374023, -2.311497449874878, 1.8916133642196655, 1.7623867988586426, -0.8168001770973206, -2.9681286811828613, 1.3155003786087036, 0.9083652496337891, 3.1198325157165527, -0.24292752146720886, 2.660897731781006, -0.4697990417480469, -1.085501790046692, -3.776738166809082, -0.5784925222396851, 1.9854737520217896, -0.9366604089736938, -1.2998907566070557, -5.100700378417969, -0.6506609916687012, -0.38936847448349, 0.2995903491973877, -1.4777694940567017, 2.932630777359009, -2.5695600509643555, 1.9074420928955078, -2.5909268856048584, -0.4267428517341614, -4.207449913024902, -0.6522742509841919, -0.17105329036712646, -1.509979248046875, 1.6844412088394165, -4.398462295532227, -1.8000805377960205, -1.8856993913650513, 1.411338210105896, 3.0506553649902344, 3.508920192718506, -1.8479576110839844, -5.322421550750732, 1.6438506841659546, 3.1890273094177246, -0.8759946823120117, 0.07813163101673126, -3.5857107639312744, -3.15895938873291, 3.5407116413116455, 1.8015241622924805, 3.199854850769043, -0.9480209350585938, 5.659517765045166, 0.610874354839325, -1.6552691459655762, 2.992323875427246, 2.969768762588501, 2.4258556365966797, 0.6501738429069519, 3.3738458156585693, 1.4012261629104614, 1.4981626272201538, 0.8930667638778687, 0.5552421808242798, 1.846847414970398, -0.0920737013220787, 2.794416666030884, 1.9278099536895752, 2.9272618293762207, 0.6571822762489319, -0.27504628896713257, -5.000672817230225, 0.008930071257054806, -2.5497729778289795]"
Рейтинг-лист ФИДЕ от 1 октября 2006,opencorpora,"[1.9648537635803223, 1.1931239366531372, -4.214494705200195, -1.697713851928711, 0.5489423871040344, -0.8845798969268799, -2.4926276206970215, 2.053990364074707, 0.15501120686531067, 1.489580750465393, 0.3565935492515564, 1.2213414907455444, 3.382676124572754, 1.6113413572311401, 0.6539124846458435, 0.7352473139762878, -2.53727650642395, 0.7259568572044373, 1.3507564067840576, 1.099881887435913, -3.386570453643799, -0.4763128161430359, 1.0337743759155273, -0.5971459746360779, 0.4256299138069153, 0.4135834872722626, -0.13005542755126953, -0.1203562393784523, 0.26427099108695984, -0.13590048253536224, -0.3754735589027405, -0.6898801922798157, 0.14806969463825226, 1.528853178024292, 2.1922202110290527, 0.508244514465332, 2.4035418033599854, -1.0687825679779053, 1.5923444032669067, -3.348435640335083, 0.14142011106014252, 0.6422543525695801, 0.8327030539512634, -0.41506144404411316, 0.6630839109420776, -2.210949659347534, -0.7027834057807922, 1.3031299114227295, 1.208557367324829, -0.31433260440826416, 2.2743923664093018, -1.4109058380126953, -0.8487750291824341, 0.22051779925823212, 1.6765090227127075, 0.45420578122138977, 0.14651162922382355, 3.857064723968506, 1.0473355054855347, -1.7628709077835083, -0.18709881603717804, -2.2712130546569824, 0.3889709413051605, 0.2225986123085022, -0.5711586475372314, 3.3230080604553223, 1.3222107887268066, -2.789783000946045, -0.8380233645439148, -1.4045902490615845, 3.124941825866699, -3.491347551345825, -2.13787579536438, -2.030801296234131, 1.2488194704055786, 1.1630507707595825, -0.866953432559967, 1.5888786315917969, -0.20593413710594177, -0.768917977809906, 1.7830322980880737, -0.6278396844863892, 2.8546578884124756, -0.23296667635440826, 1.7921051979064941, 4.491024017333984, 0.6360940933227539, -1.1232504844665527, -2.0267624855041504, 0.7769937515258789, 2.727144241333008, 0.7309946417808533, -3.7472660541534424, 0.3686867356300354, -1.5389025211334229, 0.03148658573627472, -0.077741838991642, -1.054815649986267, 3.378298282623291, -0.6089599132537842]"
30815 Законопроект о полном запрете продажи оружия внесён в Сенат США,opencorpora,"[-5.901886940002441, 5.394355773925781, 0.8782589435577393, 1.0399655103683472, -2.6118204593658447, 1.0854921340942383, 5.329973220825195, 2.8676681518554688, -2.811659812927246, -2.0245800018310547, -3.3751187324523926, 0.5407019853591919, 2.8151140213012695, 0.15380781888961792, 3.408801555633545, -1.473610281944275, -3.952629327774048, 1.4876675605773926, 0.39513272047042847, -1.1544750928878784, -2.7203447818756104, -1.0789772272109985, -3.427450180053711, -0.70550137758255, 0.6095503568649292, -0.5688972473144531, -2.2980427742004395, 3.8472776412963867, 0.46413174271583557, 1.647222876548767, -2.365417242050171, 0.859268844127655, 2.293670654296875, -0.38832032680511475, -1.359096646308899, 0.8299205303192139, -5.0801568031311035, 2.9456684589385986, -0.8178221583366394, -4.395378112792969, 0.3467763364315033, -3.442124843597412, -2.4177989959716797, 3.109450340270996, -1.2766108512878418, -1.2855279445648193, 4.408767223358154, -0.032773301005363464, 0.060872096568346024, 6.212658882141113, 4.051875591278076, -2.0697200298309326, -0.9134799242019653, -0.7495031952857971, -1.5335439443588257, 1.4939759969711304, 2.869497537612915, -2.878290891647339, 1.7907259464263916, -1.6957229375839233, 2.187920093536377, -1.232277274131775, -0.7081559896469116, -1.991106390953064, 1.704874038696289, 2.516554594039917, -1.9347529411315918, -0.6522600650787354, -2.4948782920837402, 1.5904134511947632, -2.9563796520233154, -2.39054012298584, -3.3560116291046143, 0.30242398381233215, 0.1388346552848816, 4.140992164611816, -0.9250701665878296, 0.7210403680801392, -2.154613494873047, -2.752439260482788, -0.2805616557598114, 1.2183681726455688, -0.36135536432266235, 1.9650105237960815, -3.1171019077301025, 2.766695737838745, 0.8172673583030701, -3.813382625579834, -0.10084933787584305, 0.1536543369293213, 2.367946147918701, -5.170996189117432, -1.1711087226867676, -0.9206587076187134, 1.251386284828186, 1.463117241859436, 1.5281314849853516, -1.9756914377212524, 1.7171348333358765, 2.5925769805908203]"
16502 Руперт Мёрдок продал свои российские радиостанции нашему сенатору,opencorpora,"[-1.0510333776474, 2.973843812942505, -0.7012500166893005, -0.23889566957950592, -3.8956825733184814, -0.3479515612125397, -2.982546329498291, -0.07386742532253265, -1.4970825910568237, -3.670304775238037, 0.09320645779371262, 2.3813459873199463, -2.027763605117798, 4.513708591461182, -0.9060434103012085, 1.210946798324585, -2.01495099067688, 0.6555305123329163, 0.3363794684410095, 0.10673567652702332, 1.0434530973434448, 4.313862323760986, 0.5945705771446228, -4.353724002838135, 2.520092725753784, -2.3913726806640625, -2.6566693782806396, 1.9451395273208618, 3.274773120880127, -2.0614044666290283, -0.31088119745254517, 1.4800243377685547, -1.8490114212036133, 1.980709433555603, 5.819870948791504, -2.0682499408721924, 3.2557599544525146, 1.4425532817840576, 4.194682598114014, 2.154322624206543, 0.5905433297157288, -1.8578253984451294, 2.8414947986602783, 0.5936323404312134, -0.8076013326644897, 1.5331193208694458, -3.579307794570923, 0.2175358533859253, -1.6871132850646973, 2.970292568206787, 0.6666465997695923, -2.529991388320923, -0.08433984965085983, 1.0159035921096802, 0.4264879822731018, -1.7430813312530518, -2.649292230606079, -0.8645891547203064, -0.21766653656959534, 0.2810015082359314, -1.229141354560852, 0.3541233539581299, 0.72466641664505, -2.6039767265319824, -0.7092847228050232, 2.972280979156494, -0.586872398853302, -2.541858196258545, -3.783787488937378, 2.5232560634613037, 2.2802038192749023, -3.6414690017700195, -4.338992118835449, 2.7120559215545654, -3.0693647861480713, -2.194382429122925, -0.6521311402320862, 0.5110975503921509, 6.211635589599609, -2.030036211013794, -1.9048714637756348, 0.4292483925819397, 2.086043357849121, -1.9897536039352417, 2.0434060096740723, 4.055910110473633, 1.3101270198822021, -1.5676169395446777, -1.5094811916351318, 2.5220742225646973, 0.3740142285823822, 0.8299388885498047, -2.245760679244995, -4.181246280670166, -1.044437289237976, -1.8698151111602783, 0.863717257976532, -0.870067834854126, -0.7400161623954773, 0.7220054864883423]"
