name,source,vectors
"34198 Россия проводит консультации с оппозицией Сирии по ""Женеве-2""",opencorpora,"[-0.15013280510902405, 0.1885179579257965, -0.908053457736969, 2.0088467597961426, 0.6739469170570374, -3.2470767498016357, 5.546397686004639, 1.748899221420288, 0.2486140877008438, -2.108715534210205, -0.8481858968734741, -2.6587960720062256, 2.302567958831787, 1.6542329788208008, -1.7022653818130493, 0.5724171996116638, -3.562762498855591, 0.68934166431427, 3.3198139667510986, 3.785583257675171, -0.22461457550525665, 3.0547523498535156, 0.7336887717247009, -2.3102493286132812, 0.2916887402534485, -0.6862778067588806, -1.1319983005523682, -0.4563046097755432, -0.7840415835380554, 0.0947033166885376, 1.261978030204773, 2.0277750492095947, -2.72603178024292, 2.6990199089050293, 2.014235258102417, -1.319180965423584, 2.3347675800323486, -0.37677761912345886, 0.02207397110760212, -0.594240128993988, -5.081643581390381, -2.9289674758911133, 1.8349337577819824, 1.4523694515228271, 0.431376576423645, -1.2418757677078247, 1.471034049987793, -1.5428739786148071, -4.072709560394287, 1.2981666326522827, 0.9506292343139648, -1.1648930311203003, 1.8225574493408203, -1.0842920541763306, -1.8468097448349, 1.472065806388855, -2.083721399307251, -1.08009934425354, 3.491753578186035, -2.5386345386505127, -2.4764363765716553, -2.3483457565307617, 1.8574914932250977, 1.7749173641204834, 1.7899142503738403, 1.2156561613082886, 2.56547474861145, 4.224645137786865, -0.2799840271472931, 0.266294926404953, -0.12263116985559464, -1.884486198425293, -1.3936108350753784, 3.631746530532837, 1.745283842086792, -2.2219536304473877, 1.024135708808899, -1.3390012979507446, -0.6351244449615479, -5.1786723136901855, 3.275505781173706, 0.6768043041229248, -1.9173425436019897, -4.521757125854492, 1.84326171875, 4.384816646575928, -1.7440507411956787, -0.22053059935569763, -0.9393138885498047, -1.0217489004135132, -1.288537859916687, -1.095913290977478, -1.5447261333465576, 1.4985873699188232, -0.1885266751050949, 1.07755708694458, -0.16682885587215424, 2.2573494911193848, -0.6180155277252197, -1.2861440181732178]"
"15199 Абхазия, вернувшаяся из небытия",opencorpora,"[1.633359432220459, 3.7145578861236572, -1.848637580871582, 2.3137524127960205, -0.2540832757949829, -0.730663001537323, -0.050735048949718475, -1.8958450555801392, -0.453640341758728, -2.376347780227661, -4.456117630004883, -2.4984970092773438, -1.2107222080230713, -2.118089437484741, 0.9686811566352844, -0.4966593086719513, 2.645435094833374, -0.6170841455459595, 5.263766765594482, 4.403339385986328, -2.304847240447998, 3.659663677215576, 0.5203747749328613, 0.4190680980682373, 0.43893003463745117, -2.75555682182312, 0.09640456736087799, 3.5076918601989746, -0.5569555163383484, -0.46242955327033997, 5.102499008178711, 3.42604398727417, -1.4705790281295776, 2.5489184856414795, -1.7649688720703125, -1.978695034980774, 1.2834275960922241, 2.8567545413970947, -0.9914592504501343, 3.0421624183654785, -5.62484073638916, 2.306715250015259, -0.5878484845161438, 1.3480421304702759, -0.6104205250740051, 0.7831723093986511, -1.479083776473999, 3.229548692703247, -5.594406604766846, 0.4615892469882965, 6.1357245445251465, 2.535177707672119, -0.5506324768066406, 4.932102203369141, -2.753831624984741, 0.7734179496765137, -2.1582186222076416, -1.2283058166503906, -1.7754497528076172, 0.4101962149143219, -0.8211463093757629, 1.1978237628936768, -0.7908621430397034, 0.7816590666770935, -0.27857595682144165, 2.7544150352478027, -1.7344698905944824, 2.40165376663208, -4.530125617980957, -2.090057134628296, 5.144378662109375, -3.8271055221557617, -5.429981231689453, -2.8448657989501953, -1.4146366119384766, 1.6999943256378174, 0.9198778867721558, -0.07405784726142883, -0.6129633784294128, 1.261195182800293, 0.1281941682100296, 0.4830850064754486, -0.09940803050994873, -2.1136057376861572, -0.6093499064445496, 1.7044135332107544, -1.9190994501113892, -4.039461135864258, 5.451934337615967, -1.1018339395523071, 2.5724222660064697, 0.31849467754364014, 2.8371596336364746, 0.8386386632919312, 2.5902724266052246, 0.8037711977958679, -2.2764694690704346, 2.023190498352051, -1.531361699104309, 0.6572468876838684]"
0007126 Экспириенс. Жизнь как ролевая игра.,opencorpora,"[2.0269007682800293, -0.01874387450516224, -0.726313591003418, -2.5579583644866943, 2.579824447631836, -3.659534215927124, 0.9403014779090881, -1.5747791528701782, -1.3636813163757324, 1.978895664215088, -4.572961807250977, -4.625901699066162, 0.9516828060150146, -1.9169028997421265, 1.3917174339294434, -1.6917805671691895, -2.4022560119628906, 3.26375412940979, -2.2518956661224365, 0.4457276463508606, -1.5762338638305664, 3.5052764415740967, -2.1799123287200928, -0.5603284239768982, -0.13855862617492676, -0.5092363357543945, -3.076416015625, 1.6499303579330444, 0.10276351869106293, -1.6054222583770752, 0.6503634452819824, 2.7049906253814697, 0.8774365782737732, 4.070974349975586, -0.49868476390838623, 1.4839117527008057, 2.6353845596313477, -2.5266947746276855, -2.5848350524902344, -2.832684278488159, -1.1582114696502686, 1.3375556468963623, -1.429486632347107, -2.716602087020874, 0.4450356066226959, 0.9015660881996155, -2.7216055393218994, 0.08481591939926147, -3.675520658493042, 1.4024910926818848, 4.907084941864014, 0.9580031037330627, 0.6022924184799194, 1.185288667678833, -3.703861951828003, -0.10834163427352905, -0.03822188451886177, -0.030593620613217354, -0.23600512742996216, 1.698745846748352, -1.565315842628479, -2.7818562984466553, -1.2942439317703247, 1.8177688121795654, 0.6357773542404175, 1.8878898620605469, -2.2233879566192627, 2.3179314136505127, -1.7744084596633911, -1.4289923906326294, 2.4947891235351562, 1.0453550815582275, -1.2462270259857178, -3.545412540435791, 1.3491102457046509, 1.593327522277832, 1.080485224723816, -0.007193621713668108, -0.8385744690895081, 4.909903526306152, -2.7148993015289307, 2.6732728481292725, 4.778686046600342, 0.29594042897224426, 2.708719253540039, 3.530258893966675, -0.02091309055685997, -0.8508983254432678, -2.3707451820373535, 0.8936660885810852, -1.507058024406433, -1.2982908487319946, -1.7296943664550781, -0.2669887840747833, 0.3778710663318634, 1.5075031518936157, 2.674623489379883, -0.44041556119918823, 0.8685439825057983, -1.3751306533813477]"
20868 Поражение без поражения?,opencorpora,"[-5.219182014465332, 3.162343978881836, -0.4758899509906769, -2.1146399974823, 0.29744523763656616, -0.6974164247512817, -0.7478709816932678, -0.7230920195579529, -0.6484894752502441, 0.2654876112937927, 1.0963280200958252, -1.48463773727417, -3.203687906265259, 2.386028528213501, 0.2883535325527191, 1.7292108535766602, 0.5144120454788208, -2.7517952919006348, 4.890740871429443, 2.7174296379089355, -1.1322550773620605, 6.515648365020752, 1.8487114906311035, 2.0416440963745117, -0.09662913531064987, -2.2431585788726807, -1.9641531705856323, 2.8582873344421387, -0.8392834663391113, -1.9864352941513062, 0.04219399020075798, -2.200664758682251, 0.3423496186733246, 1.661712646484375, -0.1457139551639557, 1.8254362344741821, -2.8030195236206055, -0.646000862121582, -0.7280505299568176, -2.5501558780670166, -4.56147575378418, 2.410263776779175, 1.2260740995407104, -4.8018927574157715, -0.6026343107223511, -3.5748045444488525, -0.20428182184696198, -0.02115073800086975, -2.071615219116211, 3.028048276901245, 7.0853190422058105, 1.0313173532485962, 0.6482004523277283, 0.742634654045105, -4.970191955566406, -2.136859178543091, -1.3601078987121582, 0.05765900760889053, 0.6493774056434631, 0.16509829461574554, -3.072619676589966, -0.6998593807220459, -2.824589490890503, -0.8184939622879028, -1.9400380849838257, 1.4821913242340088, -0.17610575258731842, -1.6049246788024902, -2.833371639251709, 0.5924187302589417, 0.1350707709789276, -2.2006192207336426, -3.812321662902832, -0.9697055816650391, 3.076765298843384, -1.0777310132980347, 0.034349068999290466, -0.16421782970428467, -1.9318788051605225, 2.0458691120147705, -0.36939722299575806, -1.4689315557479858, -0.625537633895874, -0.7632263898849487, 1.1096121072769165, 5.787050247192383, 1.8809881210327148, -4.822258472442627, -1.42064368724823, -0.9120223522186279, 0.26736682653427124, 1.3478416204452515, 0.21207118034362793, 0.012992359697818756, 0.609368622303009, 1.6683762073516846, -2.0650439262390137, -4.703798770904541, 0.6727514863014221, -4.181719779968262]"
Китай,opencorpora,"[-6.118934154510498, -0.8294479846954346, 1.1989749670028687, -0.48941388726234436, -2.821743965148926, 0.5885875225067139, 1.4214260578155518, 0.9306721687316895, -1.7010364532470703, 1.7702865600585938, 1.0100643634796143, -3.492743968963623, 0.4491173326969147, -3.1997127532958984, -0.03391692414879799, -0.7577073574066162, -1.6944222450256348, -1.3319674730300903, -3.993957042694092, 1.6124988794326782, -3.471834897994995, 6.229770660400391, -2.279022455215454, -2.807363510131836, 1.5167701244354248, -2.5143966674804688, -2.2225935459136963, 3.096118927001953, -1.1462039947509766, 0.8651334643363953, 6.549238204956055, -0.3462006449699402, -4.115081310272217, 3.2932868003845215, 0.6436145901679993, -0.04688525199890137, 4.362207889556885, 4.238621711730957, 2.7269487380981445, 0.7847930192947388, 6.247954368591309, 0.6107595562934875, 2.130547523498535, 4.360875129699707, 3.3827340602874756, 4.091901779174805, -0.7154764533042908, -0.4172686040401459, -4.9425578117370605, -1.3585939407348633, 2.8649818897247314, 0.880452573299408, -0.6587042808532715, 2.3591554164886475, -2.2421751022338867, 2.2382943630218506, -0.8475801944732666, -1.6263982057571411, 0.8997429013252258, -1.2460391521453857, -7.584325313568115, -0.6987802386283875, 1.8584941625595093, 4.190210342407227, 0.26984739303588867, 2.4254395961761475, -0.41520312428474426, -3.133368492126465, -1.6564974784851074, 0.9694592952728271, 1.096663236618042, 0.15995094180107117, -3.3731815814971924, -4.389764785766602, 2.1556284427642822, -1.0548027753829956, 0.20861275494098663, 0.02450167015194893, -4.784400939941406, 0.24221470952033997, -3.0247385501861572, 3.919593095779419, 5.197652339935303, -0.9332224726676941, 2.604036331176758, 3.72176456451416, 2.204327344894409, -1.234986424446106, -0.8539533019065857, 0.15296681225299835, -0.0843132957816124, 2.012385129928589, 0.19856512546539307, 1.571376085281372, 3.4610331058502197, 4.708661079406738, -1.4658902883529663, 1.6626557111740112, 1.9843796491622925, -0.521499514579773]"
Шультюте,opencorpora,"[-0.12216462939977646, 3.523818016052246, -2.9712893962860107, -0.01321183517575264, 0.05123910307884216, -0.9332678318023682, -0.13590708374977112, -1.5490039587020874, -1.2190383672714233, 4.172785758972168, 0.9042357206344604, -1.035571813583374, 3.7574098110198975, -1.5257313251495361, 0.18199360370635986, -2.8882863521575928, -1.0778944492340088, -0.23209868371486664, 0.522043764591217, 3.9811577796936035, -0.20303262770175934, 4.814877510070801, 3.022348403930664, 0.09908568859100342, 2.165026903152466, -0.12443471699953079, -1.9023324251174927, 4.041872024536133, 2.16070556640625, -0.13579580187797546, 6.730527400970459, 0.14082583785057068, -2.7797365188598633, 0.7950299978256226, -2.239107370376587, -2.412485122680664, 0.06406500935554504, 2.501253843307495, 0.8389256596565247, 0.6602233648300171, -1.7422171831130981, 0.6022389531135559, 0.3643783926963806, 1.9315065145492554, 6.283327102661133, 0.6963176727294922, -0.6309462785720825, 1.3264563083648682, -2.2631845474243164, -0.3555064797401428, 0.47448498010635376, 1.7115774154663086, 0.048196952790021896, 2.23038387298584, -3.13908052444458, 1.4722764492034912, -0.430049329996109, -1.2666035890579224, -0.8251183032989502, -1.7387422323226929, -3.6843326091766357, -1.7903125286102295, -1.6504815816879272, 1.285352110862732, -3.935349941253662, -1.4053151607513428, -1.4428443908691406, 2.5246050357818604, 0.2832115888595581, -2.235279083251953, -0.04946150630712509, -2.813572883605957, -2.546699285507202, -1.8788985013961792, -0.6476646065711975, -3.2188475131988525, 1.5132572650909424, 2.4703168869018555, -3.555983304977417, 0.4132162034511566, 0.06709790229797363, 3.5553829669952393, 3.3941378593444824, -0.9464680552482605, -1.5698182582855225, 1.5327023267745972, -0.4178372323513031, -0.7093350887298584, -1.314708948135376, -1.263519287109375, 0.9542809724807739, 3.39460825920105, 1.9002153873443604, -0.12588326632976532, -0.154258131980896, 0.315524160861969, -3.7889468669891357, -1.190561056137085, -2.5411109924316406, -2.368126630783081]"
Авиакатастрофа в Конго,opencorpora,"[-2.417510509490967, 0.3213040828704834, -2.745666027069092, -0.37597939372062683, -2.597169876098633, -1.7149087190628052, 1.7330965995788574, 0.359628289937973, 1.0209766626358032, -2.1862080097198486, -0.8002358675003052, -3.8523221015930176, 0.14126431941986084, 2.127183198928833, -0.12533225119113922, -0.47174888849258423, 2.1966118812561035, -2.805748462677002, 3.2486579418182373, 1.1055105924606323, -1.7930521965026855, 2.9156687259674072, 1.160683035850525, 2.5876212120056152, -1.1589833498001099, -0.20054742693901062, -1.9621198177337646, 2.180424213409424, 0.2748333215713501, -1.6975301504135132, 3.125049352645874, 1.7041875123977661, -2.6415066719055176, -1.1836719512939453, 5.688798904418945, 0.2886161208152771, 0.2975892722606659, 0.8384053111076355, 2.6304619312286377, 1.3208720684051514, -3.6907827854156494, 0.2095031440258026, 3.0810136795043945, -2.7298378944396973, -0.73203444480896, 2.2129905223846436, -1.6499272584915161, 0.600626528263092, -4.897739410400391, -2.8885884284973145, 3.225043535232544, 0.07740996032953262, 0.49633538722991943, 1.13144850730896, -6.302359104156494, 5.2383646965026855, 0.06653106212615967, -3.0951414108276367, 2.1152219772338867, -1.1580369472503662, 0.26741230487823486, 3.760655164718628, -1.463610053062439, -2.5348262786865234, -1.5427815914154053, -2.778062582015991, -2.8624839782714844, -0.6459290385246277, -1.6852483749389648, -1.7308526039123535, 1.0142053365707397, -1.5846455097198486, -0.006337674334645271, -1.269067645072937, 2.316561222076416, -0.7351566553115845, 1.5813733339309692, -3.7780332565307617, 2.3801488876342773, 0.5648687481880188, 1.8591995239257812, -0.33873340487480164, 1.9096921682357788, -0.5297695398330688, 2.6409432888031006, 1.0781898498535156, 0.7699302434921265, -1.8847898244857788, 2.2035627365112305, 0.24036918580532074, -4.176595211029053, -0.39832374453544617, -0.3824881315231323, -3.5544850826263428, -3.0104622840881348, 1.8938705921173096, -2.4349637031555176, -1.1471102237701416, -0.04501785710453987, 2.1186165809631348]"
История Ярославской области,opencorpora,"[-2.2701892852783203, 6.567158222198486, -2.8958215713500977, -0.8922584652900696, -3.4393470287323, -1.5627466440200806, -2.484149217605591, 5.764100074768066, -7.264069080352783, 1.4849438667297363, -2.905393123626709, -0.4330434203147888, -0.3928040564060211, 0.32638388872146606, 5.22017765045166, -4.63704252243042, -2.6393022537231445, 3.3252339363098145, 7.370848655700684, 5.283701419830322, -0.6771880984306335, 4.343393325805664, -2.441344976425171, -1.574476957321167, 0.6648263931274414, 0.08927179872989655, 1.250568151473999, 1.0637760162353516, -2.147996187210083, -3.599261999130249, 0.7529676556587219, -2.35970139503479, -2.7100846767425537, 3.462351083755493, 0.7742950916290283, -1.0686396360397339, -2.234335422515869, 2.463718891143799, 0.3165077865123749, 6.34015417098999, -2.8401525020599365, 0.12651938199996948, -1.082127332687378, 0.8916727900505066, -2.660705089569092, -1.812640905380249, 3.331733226776123, -1.5767900943756104, -5.055995464324951, -3.6389565467834473, 2.988461971282959, 1.6549755334854126, 0.20298387110233307, -2.326838493347168, -2.357797622680664, -0.5075644850730896, 2.628265857696533, 0.7480738759040833, 2.499091386795044, -1.2395789623260498, -3.419447660446167, -0.3254411816596985, -1.9137578010559082, 1.2037307024002075, -1.13040030002594, 0.43657737970352173, -4.5120849609375, 3.477233648300171, -1.0083595514297485, -4.725860118865967, 2.437791109085083, -0.16914768517017365, -2.6129391193389893, -4.549939155578613, -1.425079345703125, 2.589259624481201, 2.9125850200653076, 4.326264381408691, -1.6725329160690308, 2.4198503494262695, 1.529847264289856, 1.4040651321411133, 1.8650658130645752, -3.2182090282440186, 4.792937278747559, -5.739355564117432, 0.7251167893409729, -1.833370327949524, -0.43004900217056274, 0.33277642726898193, 2.878467559814453, 0.3193746507167816, 2.8708598613739014, -1.4245141744613647, -1.4134074449539185, -1.6249650716781616, 4.442992687225342, 1.1016427278518677, -5.495948314666748, 1.4170559644699097]"
17594 Дружба народов,opencorpora,"[-1.2808674573898315, 0.8440073728561401, 1.6352039575576782, 0.3895283341407776, -1.7271356582641602, -0.9456846714019775, 4.24237060546875, 5.135926246643066, -1.2023775577545166, -5.436235427856445, -1.3752562999725342, -4.287980556488037, 2.4125633239746094, -1.7967180013656616, -1.7519150972366333, -4.85165548324585, -0.32027965784072876, 4.287225246429443, 3.316913604736328, 5.008457183837891, -1.6883436441421509, 8.037748336791992, -1.713153600692749, -2.036567211151123, 2.8213608264923096, -0.7478935718536377, -0.31883931159973145, 7.591716289520264, -7.219814300537109, 1.8497289419174194, 4.205816745758057, 1.1384704113006592, 0.4478822350502014, 2.5963168144226074, -0.8953858017921448, -1.3628175258636475, 2.1181201934814453, 0.7128775119781494, -2.741394281387329, 1.197614312171936, -3.069333553314209, 0.34786462783813477, 2.1765811443328857, 3.8081743717193604, 0.0028935912996530533, 1.0094358921051025, 1.3681881427764893, 0.5640189051628113, -7.46564245223999, 3.14255690574646, 4.926342964172363, -0.5918079614639282, 0.2800726592540741, 3.065748691558838, -3.176305055618286, 2.3705711364746094, 0.7650582194328308, -1.3910728693008423, -0.5254048705101013, -0.03261403739452362, -0.4667152166366577, -1.293281078338623, -3.884275197982788, -0.08800975233316422, -0.546330451965332, 0.07627324759960175, -6.750451564788818, -1.1424616575241089, 0.3592391312122345, -2.775441884994507, 3.9997990131378174, -0.5792893171310425, -5.503821849822998, -2.1704163551330566, 0.6441794633865356, 1.8837840557098389, -0.04430891200900078, 0.8186131715774536, 1.2493252754211426, -0.7763153910636902, -2.6153156757354736, 0.758142352104187, -3.412407159805298, 0.6600424647331238, 2.263984203338623, 3.6192941665649414, -0.06827962398529053, 3.7397491931915283, 1.4080758094787598, 0.9932550191879272, 1.3573590517044067, -3.7403151988983154, -2.386766195297241, -2.468174457550049, 6.886253833770752, 5.254217147827148, -4.121915340423584, 2.9936013221740723, 1.4238964319229126, -0.6498461961746216]"
Статья 26. Таможенное оформление и таможенный контроль,opencorpora,"[-0.7326183319091797, 0.1562364399433136, 0.8147984147071838, -1.7637062072753906, -0.32163453102111816, -0.9620476365089417, 0.640406608581543, -1.3898043632507324, 1.1883424520492554, 0.5375503897666931, 0.09228122979402542, -1.2130837440490723, 0.6694515347480774, 0.4582895040512085, 1.0453181266784668, 0.8981298804283142, 0.8784751296043396, -0.8001095652580261, 0.1965799629688263, 0.27903667092323303, -2.1896958351135254, 0.028919026255607605, 1.2122442722320557, -0.1712549477815628, -0.1338770091533661, -0.851689875125885, 0.04423477500677109, -1.2681468725204468, -0.05821516737341881, -0.90325927734375, 1.623819351196289, 2.315782070159912, -1.1645034551620483, 0.11937296390533447, 0.183223158121109, 0.895238995552063, 1.140297293663025, 1.2162400484085083, -0.09138782322406769, 0.24819165468215942, 0.16236113011837006, 0.2130393534898758, 0.4615347981452942, 0.8845500349998474, -0.12695467472076416, -1.418323278427124, 1.5072194337844849, -0.7844055891036987, -0.14408189058303833, 0.3870425820350647, 1.0489166975021362, -0.28925228118896484, 0.5172020196914673, 1.050715684890747, -0.6317082047462463, 1.6756852865219116, 0.4457259476184845, 0.22920329868793488, 1.0787080526351929, -0.7389238476753235, -0.9458044767379761, 1.3154253959655762, -1.2529562711715698, 0.9142007231712341, -0.014180457219481468, 1.3655678033828735, 0.7999230623245239, 0.30624711513519287, 2.205036163330078, 0.23539263010025024, -1.4937289953231812, -0.21101033687591553, -0.22851747274398804, 0.633807897567749, 1.5525263547897339, 1.3470849990844727, 0.1580723077058792, -1.0775905847549438, -0.6983017325401306, -0.06858450919389725, 1.6746759414672852, 0.21179361641407013, 2.427443265914917, -0.33538761734962463, 1.4646598100662231, 0.5491669774055481, -0.3155137002468109, -0.4677291214466095, -1.2388837337493896, 0.7022644281387329, -1.5731247663497925, -0.4271751940250397, 0.6403599381446838, -0.5884565114974976, 0.46790173649787903, 0.8702725768089294, -0.10758871585130692, -0.38589271903038025, -1.1319591999053955, -0.06980953365564346]"
