title,labels,predicted,is_right,intersection
Решение по делу 1-193/2018 - 264 ч.1 - судья Дерюгина Н. С. - 15/02/2018 - РосПравосудие,"[264.0, 53.0, 47.0, 317.0]","[61.0, 40.0, 127.0, 127.1, 2.0]",0,0
Решение по делу 1-6/2018 - 264.1 - судья Самохвалов Александр Михайлович - 15/02/2018 - РосПравосудие,[264.1],"[73.0, 70.0, 74.0, 72.0, 80.0]",0,0
Решение по делу 1-9/2018 - 322.3 - судья Ерохин Илья Александрович - 15/02/2018 - РосПравосудие,"[264.1, 81.0, 317.0, 259.0]","[127.1, 73.0, 74.0, 86.0, 127.0]",0,0
Решение по делу 1-6/2018 - 115 ч.1 - судья Харитонова Ольга Николаевна - 15/02/2018 - РосПравосудие,"[115.0, 317.0]","[6.0, 61.0, 127.0, 28.0, 40.0]",0,0
Решение по делу 1-24/2018 - 112 ч.2 п. - судья Васильев С. А. - 15/02/2018 - РосПравосудие,"[112.0, 73.0, 73.0, 317.0]","[74.0, 34.0, 78.0, 86.0, 17.0]",0,0
Решение по делу 1-35/2018 - 228 ч.2 - судья Темяжникова И. Н. - 15/02/2018 - РосПравосудие,"[228.0, 70.0]","[73.0, 72.0, 74.0, 80.0, 127.1]",0,0
Решение по делу 1-6/2018 - 291.2 - судья Митина Виталия Николаевна - 15/02/2018 - РосПравосудие,"[291.2, 73.0]","[102.0, 73.0, 2.0, 40.0, 80.0]",1,1
Решение по делу 1-5/2018 - 264.1 - судья Усынкина Алевтина Алексеевна - 15/02/2018 - РосПравосудие,[264.1],"[74.0, 73.0, 82.1, 72.0, 80.0]",0,0
Решение по делу 1-10/2018 - 264.1 - судья Паншина Юлия Леонидовна - 15/02/2018 - РосПравосудие,[264.1],"[74.0, 73.0, 82.1, 127.0, 80.0]",0,0
Решение по делу 1-9/2018 - 264.1 - судья Паншина Юлия Леонидовна - 15/02/2018 - РосПравосудие,"[264.1, 70.0, 69.0]","[74.0, 73.0, 102.0, 82.1, 127.1]",0,0
Решение по делу 1-11/2018 - 158 ч.2 п.в - судья Мартынов Денис Александрович - 15/02/2018 - РосПравосудие,[158.0],"[61.0, 127.0, 40.0, 127.1, 296.0]",0,0
Решение по делу 1-46/2018 (1-395/2017;) - 228 ч.1 - судья Вовченко Денис Витальевич - 15/02/2018 - РосПравосудие,"[228.0, 69.0, 131.0, 316.0]","[73.0, 80.0, 74.0, 127.1, 127.0]",0,0
Решение по делу 1-6/2018 (1-66/2017;) - 158 ч.3 п.а - судья Архипович Артем Александрович - 15/02/2018 - РосПравосудие,"[158.0, 64.0, 46.0, 317.0]","[61.0, 6.0, 127.0, 86.0, 58.0]",0,0
Решение по делу 1-6/2018 (1-78/2017;) - 228 ч.1 - судья Дементьева Любовь Александровна - 15/02/2018 - РосПравосудие,"[228.0, 70.0]","[230.0, 127.0, 80.0, 228.2, 127.1]",0,0
Решение по делу 1-9/2018 - 158 ч.1 - судья Сорочина Светлана Михайловна - 15/02/2018 - РосПравосудие,"[158.0, 73.0, 73.0]","[58.0, 127.0, 296.0, 122.0, 78.0]",0,0
Решение по делу 1-9/2018 - 264.1 - судья Дьяченко Татьяна Юрьевна - 15/02/2018 - РосПравосудие,[264.1],"[74.0, 73.0, 127.1, 82.1, 2.0]",0,0
Решение по делу 1-13/2018 - 117 ч.1 - судья Никитина Лидия Анатольевна - 15/02/2018 - РосПравосудие,"[117.0, 73.0, 30.0, 161.0, 317.0]","[40.0, 75.0, 34.0, 127.0, 296.0]",0,0
Решение по делу 1-10/2018 - 327 ч.1 - судья Еремеев Владислав Сергеевич - 15/02/2018 - РосПравосудие,[327.0],"[82.1, 74.0, 63.1, 73.0, 72.0]",0,0
Решение по делу 1-21/2018 - 264.1 - судья Анищенко Наталья Александровна - 15/02/2018 - РосПравосудие,"[158.0, 158.0, 69.0, 73.0, 73.0]","[125.0, 200.3, 185.3, 204.0, 242.0]",0,0
Решение по делу 1-16/2018 - 264.1 - судья Карташова Татьяна Валентиновна - 15/02/2018 - РосПравосудие,"[264.1, 264.1, 264.1, 264.1, 69.0, 317.0]","[73.0, 74.0, 127.1, 127.0, 80.0]",0,0
Решение по делу 1-14/2018 - 319 ч.1 - судья Карташова Татьяна Валентиновна - 15/02/2018 - РосПравосудие,"[319.0, 317.0]","[74.0, 86.0, 34.0, 78.0, 296.0]",0,0
Решение по делу 1-15/2018 - 159 ч.1 - судья Прокопьева Анна Михайловна - 15/02/2018 - РосПравосудие,"[159.0, 317.0]","[86.0, 74.0, 43.0, 63.1, 296.0]",0,0
Решение по делу 1-24/2018 - 118 ч.1 - судья Прокопьева Анна Михайловна - 15/02/2018 - РосПравосудие,"[118.0, 317.0]","[61.0, 86.0, 127.0, 296.0, 78.0]",0,0
Решение по делу 1-11/2018 - 160 ч.1 - судья Бабакова Мария Алексеевна - 15/02/2018 - РосПравосудие,[160.0],"[63.1, 74.0, 73.0, 82.1, 34.0]",0,0
Решение по делу 1-63/2018 - 222 ч.1; 222.1 ч.1 - судья Гамзатов Якуб Бахмудович - 15/02/2018 - РосПравосудие,"[222.0, 222.1, 222.0, 222.1, 69.0, 71.0, 317.0]","[127.0, 86.0, 127.1, 43.0, 80.0]",0,0
Решение по делу 1-133/2018 - 158 ч.3 п.а - судья Фроликова Екатерина Николаевна - 15/02/2018 - РосПравосудие,"[158.0, 73.0, 317.0]","[61.0, 127.0, 6.0, 127.2, 40.0]",0,0
Решение по делу 1-143/2018 - 111 ч.1 - судья Липатов Андрей Алексеевич - 15/02/2018 - РосПравосудие,"[111.0, 73.0, 259.0]","[61.0, 38.0, 28.0, 39.0, 6.0]",0,0
Решение по делу 1-17/2018 - 115 ч.1 - судья Богданов Дмитрий Викторович - 15/02/2018 - РосПравосудие,"[115.0, 46.0]","[61.0, 6.0, 39.0, 38.0, 296.0]",0,0
Решение по делу 1-15/2018 - 112 ч.1 - судья Богданов Дмитрий Викторович - 15/02/2018 - РосПравосудие,[112.0],"[61.0, 6.0, 127.0, 69.0, 21.0]",0,0
Решение по делу 1-15/2018 - 158 ч.1 - судья Седойкина Анастасия Валерьевна - 15/02/2018 - РосПравосудие,"[158.0, 73.0, 73.0]","[127.0, 122.0, 296.0, 34.0, 157.0]",0,0
Решение по делу 1-9/2018 - 322.2 - судья Замятин Андрей Александрович - 15/02/2018 - РосПравосудие,"[158.0, 73.0, 73.0, 317.0]","[58.0, 127.0, 61.0, 86.0, 78.0]",0,0
Решение по делу 1-12/2018 - 158 ч.1 - судья Конаныхина Лариса Петровна - 15/02/2018 - РосПравосудие,"[158.0, 30.0, 158.0, 158.0, 30.0, 158.0, 69.0, 317.0, 259.0]","[58.0, 61.0, 127.0, 86.0, 34.0]",0,0
Решение по делу 1-5/2018 - 119 ч.1 - судья Кретов Иван Васильевич - 15/02/2018 - РосПравосудие,[119.0],"[61.0, 127.0, 6.0, 86.0, 81.0]",0,0
Решение по делу 1-13/2018 - 314.1 ч.2 - судья Ишдавлетова Гульфира Рашитовна - 15/02/2018 - РосПравосудие,[314.1],"[74.0, 78.0, 63.1, 86.0, 104.4]",0,0
Решение по делу 1-58/2018 - 158 ч.2 п.в - судья Глазырина Н. В. - 15/02/2018 - РосПравосудие,"[158.0, 317.0]","[61.0, 296.0, 80.0, 69.0, 63.1]",0,0
Решение по делу 1-31/2018 (1-188/2017;) - 158 ч.3 п.а - судья Борзенко Александр Георгиевич - 15/02/2018 - РосПравосудие,"[158.0, 73.0, 316.0]","[86.0, 34.0, 78.0, 61.0, 63.1]",0,0
